[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3931695930.39377,08/01/2024,5:45 pm
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.4.4 Build 11,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC480,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,285,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,279,PREAMP_SERIAL_NUMBER
INFO,835,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3931695989.7125,299.909912109375,14917.111328125,0.0010339489931984,5.63932031390343E-6,1,1.99850670813958,40.0298881530762,1.99818389602886,15.1500003412366,0.011924699794261,0.00201066904337608,0.25,-7.81870230316126E-6,0.00103392231916425,-7.14820426298603E-6,299.909759521484,299.909759521484,14834.1875,15000.03515625,46.0418279252933,17.1732910704338,,0,0,0,80,299.912200927734,1,4,4,1.91665649414062,54.2522010803223,,,,,,,,,,,,,,,,
,3931695999.234,299.911773681641,14995.744140625,0.00103324558207155,3.47636177450099E-6,1,1.99850670813958,40.0298881530762,1.99882210099343,15.1699995622039,0.0119274034174345,0.00196945411710202,0.25,-1.13257354384416E-5,0.00103322115848199,-1.06555948983015E-5,299.912353515625,299.912353515625,14994.5830078125,14996.9052734375,47.3182272971973,17.1936938689335,,0,0,0,80,299.911193847656,1,6,4,1.92611694335938,55.2297172546387,,,,,,,,,,,,,,,,
,3931696000.0085,299.912338256836,14979.44921875,0.00103405951028213,4.54963321222993E-6,1,1.99850670813958,40.0298881530762,1.99882536589583,15.1699995622039,0.0119354065682161,0.00197900869004145,0.25,-1.06402885492988E-5,0.00103403460358389,-9.9696418412106E-6,299.911193847656,299.911193847656,14964.3154296875,14994.5830078125,47.3479291809281,17.1920195195643,,0,0,0,80,299.913208007812,1,6,4,1.92474365234375,55.2297172546387,,,,,,,,,,,,,,,,
,3931696001.7135,299.912704467773,14944.2407226562,0.00103593017376091,5.40571077644076E-6,1,1.99850670813958,40.0298881530762,1.99879622456471,15.1699995622039,0.0119563744469456,0.00198514177718166,0.25,-1.0435524124189E-5,0.00103590506771958,-9.76366983901726E-6,299.913482666016,299.913482666016,14924.166015625,14964.3154296875,47.2478807304665,17.1925104769617,,0,0,0,80,299.911926269531,1,6,4,1.92428588867187,55.2297172546387,,,,,,,,,,,,,,,,
,3931696003.701,299.911926269531,14905.2724609375,0.00103798202910176,5.06535284430543E-6,1,1.99850670813958,40.0298881530762,1.99876276534199,15.1800001040101,0.0119793792336983,0.00199178239745369,0.25,-1.02183012511662E-5,0.00103795673780726,-9.54511930743746E-6,299.911926269531,299.911926269531,14886.37890625,14924.166015625,47.2572602726973,17.1916071445415,,0,0,0,80,299.912933349609,1,6,4,1.92352294921875,54.7409591674805,,,,,,,,,,,,,,,,
,3931696005.7095,299.911636352539,14866.0146484375,0.00103902462798519,3.66846561908886E-6,1,1.99850670813958,40.0298881530762,1.99876440967623,15.1699995622039,0.0119944468176812,0.00197663442836474,0.25,-1.17171684792003E-5,0.00103900028310436,-1.10432615229005E-5,299.911926269531,299.911926269531,14845.650390625,14886.37890625,47.2814907567935,17.1907305011331,,0,0,0,80,299.91162109375,1,6,4,1.92550659179687,55.7184753417969,,,,,,,,,,,,,,,,
,3931696007.7075,299.910919189453,14825.6518554687,0.00104027682782961,5.19287115028807E-6,1,1.99850670813958,40.0298881530762,1.99876184196873,15.1699995622039,0.0120054788952476,0.00199833691069515,0.25,-1.00541216699627E-5,0.00104025138361969,-9.37944991105899E-6,299.911346435547,299.911346435547,14805.6533203125,14845.650390625,47.3330782390627,17.1894172645295,,0,0,0,80,299.910339355469,1,6,4,1.93313598632813,55.7184753417969,,,,,,,,,,,,,,,,
,3931696009.676,299.910842895508,14786.6860351562,0.0010414421760927,5.9743348371159E-6,1,1.99850670813958,40.0298881530762,1.99870882901268,15.1699995622039,0.0120192560890606,0.00199691677601712,0.25,-1.03785146265519E-5,0.00104141690801079,-9.70307491892006E-6,299.910491943359,299.910491943359,14767.71875,14805.6533203125,47.3956085206012,17.1886443466518,,0,0,0,80,299.913635253906,1,6,4,1.92352294921875,56.2072334289551,,,,,,,,,,,,,,,,
,3931696011.678,299.910629272461,14747.4770507813,0.00104168525096785,4.89993729358663E-6,1,1.99850670813958,40.0298881530762,1.99869709725878,15.1699995622039,0.0120217296180917,0.00199886617142359,0.25,-1.02512050128257E-5,0.00104165989787885,-9.57560875132961E-6,299.911193847656,299.911193847656,14727.2353515625,14767.71875,47.4479776313896,17.1877074495058,,0,0,0,80,299.910919189453,1,6,4,1.91268920898438,55.7184753417969,,,,,,,,,,,,,,,,
,3931696013.698,299.910705566406,14707.078125,0.00104236605828901,4.62358741816867E-6,1,1.99850670813958,40.0298881530762,1.99867760087336,15.1699995622039,0.0120279353049103,0.0020088716302129,0.25,-9.50117798922901E-6,0.00104234019598933,-8.82516117427763E-6,299.910064697266,299.910064697266,14686.9208984375,14727.2353515625,47.4448511173127,17.1881325126323,,0,0,0,80,299.911346435547,1,6,4,1.92428588867187,56.2072334289551,,,,,,,,,,,,,,,,
,3931696015.708,299.910552978516,14666.7036132812,0.00104304789513228,5.74650938839464E-6,1,1.99850670813958,40.0298881530762,1.99868232934594,15.1699995622039,0.0120382909860119,0.00199624272530555,0.25,-1.07180611926419E-5,0.00104302280424597,-1.00415621754039E-5,299.911346435547,299.911346435547,14646.486328125,14686.9208984375,47.4159308621012,17.1875414996056,,0,0,0,80,299.91064453125,1,6,4,1.92337036132813,56.2072334289551,,,,,,,,,,,,,,,,
,3931696017.708,299.911270141602,14626.5629882812,0.00104385664686726,5.27795744086996E-6,1,1.99850670813958,40.0298881530762,1.99866519221603,15.1699995622039,0.0120438396141113,0.00201866680008187,0.25,-8.91283370260487E-6,0.00104383034313544,-8.23586520187185E-6,299.909759521484,299.909759521484,14606.6396484375,14646.486328125,47.4253104043319,17.1883355509327,,0,0,0,80,299.911773681641,1,6,4,1.92489624023438,56.2072334289551,,,,,,,,,,,,,,,,
,3931696019.6955,299.911560058594,14586.63671875,0.0010452408506168,4.8269219090083E-6,1,1.99850670813958,40.0298881530762,1.99866446037189,15.1699995622039,0.0120612624814777,0.00201308607671201,0.25,-9.64136454965955E-6,0.00104521496931028,-8.96347462789361E-6,299.912780761719,299.912780761719,14566.6337890625,14606.6396484375,47.5699116803897,17.1880826983441,,0,0,0,80,299.91064453125,1,6,4,1.9134521484375,56.2072334289551,,,,,,,,,,,,,,,,
,3931696021.7065,299.910980224609,14546.5522460938,0.00104852796623722,5.32173946873582E-6,1,1.99850670813958,40.0298881530762,1.99862356936297,15.1699995622039,0.0121027608612044,0.00199779717563926,0.25,-1.15448986897202E-5,0.00104850323188607,-1.08648154891142E-5,299.910339355469,299.910339355469,14526.470703125,14566.6337890625,47.557405624082,17.1873113301145,,0,0,0,80,299.910339355469,1,6,4,1.92276000976562,56.6959953308105,,,,,,,,,,,,,,,,
,3931696023.684,299.911270141602,14507.3759765625,0.00104663199616401,6.29981477584812E-6,1,1.99850670813958,40.0298881530762,1.9986281106315,15.1699995622039,0.0120779138817608,0.00201113322625337,0.25,-1.00532132872274E-5,0.00104660634573941,-9.37440336307504E-6,299.91162109375,299.91162109375,14488.28125,14526.470703125,47.648856160832,17.1888539715471,,0,0,0,80,299.912353515625,1,6,4,1.93588256835938,56.6959953308105,,,,,,,,,,,,,,,,
,3931696025.6615,299.910064697266,14468.373046875,0.0010475173451002,4.61598599325813E-6,1,1.99850670813958,40.0298881530762,1.99864275159315,15.1699995622039,0.0120881086254412,0.00201346050809285,0.25,-1.00086210319024E-5,0.00104749166788652,-9.32923320503279E-6,299.910919189453,299.910919189453,14448.46484375,14488.28125,47.4706448584473,17.1894359976008,,0,0,0,80,299.909759521484,1,6,4,1.92230224609375,56.6959953308105,,,,,,,,,,,,,,,,
